hgnc_symbol	uniprot_id	uniprot_swissprot	uniprot_trembl	ensembl_gene_id	description
MKRN1	Q9UHC7	Q9UHC7		ENSG00000133606	makorin ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:7112]
OR52R1	Q8NGF1	Q8NGF1		ENSG00000279270	olfactory receptor family 52 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:15235]
SIGLEC11	Q96RL6	Q96RL6		ENSG00000161640	sialic acid binding Ig like lectin 11 [Source:HGNC Symbol;Acc:HGNC:15622]
OR51G1	Q8NGK1	Q8NGK1	A0A126GVF5	ENSG00000278870	olfactory receptor family 51 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:14738]
OR51A2	Q8NGJ7	Q8NGJ7	A0A126GWD5	ENSG00000205496	olfactory receptor family 51 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:14764]
ST3GAL2	Q16842	Q16842		ENSG00000157350	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10863]
NCK2	O43639	O43639	A0A0S2Z4M6	ENSG00000071051	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]
ALOX15B	I3L1D5		I3L1D5	ENSG00000179593	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]
ABCD3	P28288	P28288		ENSG00000117528	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]
NFKBIB	I3L4X3		I3L4X3	ENSG00000282905	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]
HBB	P68871	P68871	D9YZU5	ENSG00000244734	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]
KLRG2	A4D1S0	A4D1S0		ENSG00000188883	killer cell lectin like receptor G2 [Source:HGNC Symbol;Acc:HGNC:24778]
MRPL39	Q9NYK5	Q9NYK5		ENSG00000154719	mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027]
PLCG1	P19174	P19174		ENSG00000124181	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]
NR3C1	P04150	P04150	F1D8N4	ENSG00000113580	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]
CCER2	I3L3Z9		I3L3Z9	ENSG00000283099	coiled-coil glutamate rich protein 2 [Source:HGNC Symbol;Acc:HGNC:44662]
DRC1	Q96MC2	Q96MC2		ENSG00000157856	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]
HBD	E9PFT6		E9PFT6	ENSG00000223609	hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829]
ALOX12B	O75342	O75342		ENSG00000179477	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]
HBG2	P69892	P69892	D9YZU9	ENSG00000196565	hemoglobin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4832]
GPLD1	P80108	P80108		ENSG00000112293	glycosylphosphatidylinositol specific phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:4459]
FCSK	I3L106		I3L106	ENSG00000157353	fucose kinase [Source:HGNC Symbol;Acc:HGNC:29500]
MROH7-TTC4	F8WC02		F8WC02	ENSG00000271723	MROH7-TTC4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49180]
CLTRN	Q9HBJ8	Q9HBJ8		ENSG00000147003	collectrin, amino acid transport regulator [Source:HGNC Symbol;Acc:HGNC:29437]
DOCK1	Q14185	Q14185		ENSG00000150760	dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]
HES7	Q9BYE0	Q9BYE0		ENSG00000179111	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]
HBE1	P02100	P02100	D9YZU7	ENSG00000213931	hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]
OR51B4	Q9Y5P0	Q9Y5P0		ENSG00000183251	olfactory receptor family 51 subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:14708]
GET1	H7C384		H7C384	ENSG00000182093	guided entry of tail-anchored proteins factor 1 [Source:HGNC Symbol;Acc:HGNC:12790]
TMEM107	Q6UX40	Q6UX40		ENSG00000179029	transmembrane protein 107 [Source:HGNC Symbol;Acc:HGNC:28128]
OR51B6	Q9H340	Q9H340		ENSG00000176239	olfactory receptor family 51 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:19600]
OR51Q1	Q8NH59	Q8NH59		ENSG00000167360	olfactory receptor family 51 subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:14851]
OR52D1	Q9H346	Q9H346	A0A126GVG9	ENSG00000181609	olfactory receptor family 52 subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:15212]
PEDS1-UBE2V1	I3L0A0		I3L0A0	ENSG00000124208	PEDS1-UBE2V1 readthrough [Source:HGNC Symbol;Acc:HGNC:33521]
BORCS6	Q96GS4	Q96GS4		ENSG00000196544	BLOC-1 related complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25939]
UBQLN3	Q9H347	Q9H347	A0A140VJZ3	ENSG00000175520	ubiquilin 3 [Source:HGNC Symbol;Acc:HGNC:12510]
UBQLNL	Q8IYU4	Q8IYU4		ENSG00000175518	ubiquilin like [Source:HGNC Symbol;Acc:HGNC:28294]
GNAI1	P63096	P63096		ENSG00000127955	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]
OR52B6	Q8NGF0	Q8NGF0		ENSG00000187747	olfactory receptor family 52 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:15211]
BTNL8	Q6UX41	Q6UX41		ENSG00000113303	butyrophilin like 8 [Source:HGNC Symbol;Acc:HGNC:26131]
DAZAP2	Q15038	Q15038		ENSG00000183283	DAZ associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2684]
RXFP1	E9PCA3		E9PCA3	ENSG00000171509	relaxin family peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:19718]
MGAT4A	Q9UM21	Q9UM21		ENSG00000071073	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]
RPL10	X1WI28		X1WI28	ENSG00000147403	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]
PEDS1	A5PLL7	A5PLL7		ENSG00000240849	plasmanylethanolamine desaturase 1 [Source:HGNC Symbol;Acc:HGNC:16735]
ZZZ3	Q8IYH5	Q8IYH5		ENSG00000036549	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]
CFAP43	Q8NDM7	Q8NDM7		ENSG00000197748	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]
EGFL7	Q9UHF1	Q9UHF1		ENSG00000172889	EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]
SARS2	Q9NP81	Q9NP81		ENSG00000283104	seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17697]
SMC1A	G8JLG1		G8JLG1	ENSG00000072501	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]
DIPK1B	Q5VUD6	Q5VUD6		ENSG00000165716	divergent protein kinase domain 1B [Source:HGNC Symbol;Acc:HGNC:28290]
DLX6	P56179	P56179		ENSG00000006377	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]
TRIM6	Q9C030	Q9C030		ENSG00000121236	tripartite motif containing 6 [Source:HGNC Symbol;Acc:HGNC:16277]
ALDH5A1	C9J8Q5		C9J8Q5	ENSG00000112294	aldehyde dehydrogenase 5 family member A1 [Source:HGNC Symbol;Acc:HGNC:408]
PTPN1	B4DSN5		B4DSN5	ENSG00000196396	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]
GJB4	Q9NTQ9	Q9NTQ9	A0A654IBS8	ENSG00000189433	gap junction protein beta 4 [Source:HGNC Symbol;Acc:HGNC:4286]
GNGT1	C9JGI9		C9JGI9	ENSG00000127928	G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]
DMRTA2	Q96SC8	Q96SC8		ENSG00000142700	DMRT like family A2 [Source:HGNC Symbol;Acc:HGNC:13908]
LCN10	E9PRR3		E9PRR3	ENSG00000187922	lipocalin 10 [Source:HGNC Symbol;Acc:HGNC:20892]
HIVEP3	Q5T1R4	Q5T1R4		ENSG00000127124	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]
TWIST2	Q8WVJ9	Q8WVJ9		ENSG00000288335	twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]
MRPS12	O15235	O15235		ENSG00000283018	mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]
HSPA12A	O43301	O43301		ENSG00000165868	heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022]
CSRP2	Q16527	Q16527	A0A024RBB5	ENSG00000175183	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]
AURKB	Q96GD4	Q96GD4		ENSG00000178999	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]
SLC5A11	Q8WWX8	Q8WWX8		ENSG00000288216	solute carrier family 5 member 11 [Source:HGNC Symbol;Acc:HGNC:23091]
SF3B3	H3BMB0		H3BMB0	ENSG00000189091	splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]
FBXO17	Q96EF6	Q96EF6		ENSG00000282954	F-box protein 17 [Source:HGNC Symbol;Acc:HGNC:18754]
SOCS2	O14508	O14508		ENSG00000120833	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]
TDP2	X6R5A3		X6R5A3	ENSG00000111802	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]
LCN6	K7ERN5		K7ERN5	ENSG00000267206	lipocalin 6 [Source:HGNC Symbol;Acc:HGNC:17337]
SRC	P12931	P12931		ENSG00000197122	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]
ACOT13	Q9NPJ3	Q9NPJ3		ENSG00000112304	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]
MYOZ1	Q9NP98	Q9NP98		ENSG00000177791	myozenin 1 [Source:HGNC Symbol;Acc:HGNC:13752]
SYNPO2L	Q9H987	Q9H987		ENSG00000166317	synaptopodin 2 like [Source:HGNC Symbol;Acc:HGNC:23532]
NPAS2	Q99743	Q99743	A2I2P5	ENSG00000170485	neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]
LGALS7B	P47929	P47929		ENSG00000282902	galectin 7B [Source:HGNC Symbol;Acc:HGNC:34447]
PFAS	J3QL39		J3QL39	ENSG00000178921	phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863]
LGALS7	P47929	P47929		ENSG00000283082	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]
NXT1	Q9UKK6	Q9UKK6		ENSG00000132661	nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]
GZF1	Q9H116	Q9H116		ENSG00000125812	GDNF inducible zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:15808]
TRIM6-TRIM34	B2RNG4		B2RNG4	ENSG00000258588	TRIM6-TRIM34 readthrough [Source:HGNC Symbol;Acc:HGNC:33440]
LCN15	Q6UWW0	Q6UWW0		ENSG00000177984	lipocalin 15 [Source:HGNC Symbol;Acc:HGNC:33777]
OR56B1	Q8NGI3	Q8NGI3		ENSG00000181023	olfactory receptor family 56 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:15245]
OR52E6	Q96RD3	Q96RD3	A0A126GVK5	ENSG00000205409	olfactory receptor family 52 subfamily E member 6 [Source:HGNC Symbol;Acc:HGNC:15215]
HBG1	P69891	P69891	D9YZU8	ENSG00000213934	hemoglobin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:4831]
TMEM141	Q96I45	Q96I45		ENSG00000244187	transmembrane protein 141 [Source:HGNC Symbol;Acc:HGNC:28211]
MRGPRG	Q86SM5	Q86SM5		ENSG00000182170	MAS related GPR family member G [Source:HGNC Symbol;Acc:HGNC:24829]
MRGPRE	Q86SM8	Q86SM8	W4VSQ4	ENSG00000184350	MAS related GPR family member E [Source:HGNC Symbol;Acc:HGNC:30694]
LIFR	P42702	P42702		ENSG00000113594	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]
BCAR3	O75815	O75815		ENSG00000137936	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]
VRK3	Q8IV63	Q8IV63		ENSG00000105053	VRK serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996]
ASAH1	Q13510	Q13510		ENSG00000104763	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]
SI	P14410	P14410		ENSG00000090402	sucrase-isomaltase [Source:HGNC Symbol;Acc:HGNC:10856]
CCDC183	Q5T5S1	Q5T5S1		ENSG00000213213	coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:HGNC:28236]
NAPB	Q9H115	Q9H115		ENSG00000125814	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]
ZNF827	A0A590UJE4		A0A590UJE4	ENSG00000151612	zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]
EEA1	Q15075	Q15075		ENSG00000102189	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]
BARHL2	Q9NY43	Q9NY43		ENSG00000143032	BarH like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:954]
TBC1D7	Q9P0N9	Q9P0N9		ENSG00000145979	TBC1 domain family member 7 [Source:HGNC Symbol;Acc:HGNC:21066]
CSTL1	Q9H114	Q9H114		ENSG00000125823	cystatin like 1 [Source:HGNC Symbol;Acc:HGNC:15958]
RPL22L1	Q6P5R6	Q6P5R6		ENSG00000163584	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]
CST11	Q9H112	Q9H112		ENSG00000125831	cystatin 11 [Source:HGNC Symbol;Acc:HGNC:15959]
CNN3	Q15417	Q15417		ENSG00000117519	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]
SEC24C	P53992	P53992		ENSG00000176986	SEC24 homolog C, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10705]
GHRH	P01286	P01286		ENSG00000118702	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]
ZNF473	M0R032		M0R032	ENSG00000142528	zinc finger protein 473 [Source:HGNC Symbol;Acc:HGNC:23239]
ARHGAP17	Q68EM7	Q68EM7		ENSG00000288353	Rho GTPase activating protein 17 [Source:HGNC Symbol;Acc:HGNC:18239]
SLC25A35	Q3KQZ1	Q3KQZ1		ENSG00000125434	solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921]
SLC9A6	Q92581	Q92581		ENSG00000198689	solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079]
NEDD4L	Q96PU5	Q96PU5		ENSG00000049759	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]
FUT11	Q495W5	Q495W5		ENSG00000196968	fucosyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19233]
RABL6	Q3YEC7	Q3YEC7		ENSG00000196642	RAB, member RAS oncogene family like 6 [Source:HGNC Symbol;Acc:HGNC:24703]
SPATA16	Q9BXB7	Q9BXB7	A0A140VJV8	ENSG00000144962	spermatogenesis associated 16 [Source:HGNC Symbol;Acc:HGNC:29935]
CHCHD1	A6NJX6		A6NJX6	ENSG00000172586	coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]
DCHS2	Q6V1P9	Q6V1P9		ENSG00000197410	dachsous cadherin-related 2 [Source:HGNC Symbol;Acc:HGNC:23111]
RANGRF	Q9HD47	Q9HD47		ENSG00000108961	RAN guanine nucleotide release factor [Source:HGNC Symbol;Acc:HGNC:17679]
RIC8B	B7WPL0		B7WPL0	ENSG00000111785	RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:HGNC:25555]
ATP1B3	C9JA36		C9JA36	ENSG00000069849	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]
FHL2	Q14192	Q14192	Q6I9R8	ENSG00000115641	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
ARHGEF15	J3KT46		J3KT46	ENSG00000198844	Rho guanine nucleotide exchange factor 15 [Source:HGNC Symbol;Acc:HGNC:15590]
ASPDH	A6ND91	A6ND91		ENSG00000204653	aspartate dehydrogenase domain containing [Source:HGNC Symbol;Acc:HGNC:33856]
EPM2A	A0A1W2PPT8		A0A1W2PPT8	ENSG00000112425	EPM2A glucan phosphatase, laforin [Source:HGNC Symbol;Acc:HGNC:3413]
PHPT1	Q9NRX4	Q9NRX4		ENSG00000054148	phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]
ZNF195	E9PPF8		E9PPF8	ENSG00000005801	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]
CDKN2AIP	Q9NXV6	Q9NXV6		ENSG00000168564	CDKN2A interacting protein [Source:HGNC Symbol;Acc:HGNC:24325]
SBF1	O95248	O95248		ENSG00000100241	SET binding factor 1 [Source:HGNC Symbol;Acc:HGNC:10542]
LRRC4B	Q9NT99	Q9NT99		ENSG00000131409	leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042]
SYT3	M0QYH4		M0QYH4	ENSG00000213023	synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:11511]
ZFP42	Q96MM3	Q96MM3		ENSG00000179059	ZFP42 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:30949]
DEFA5	Q01523	Q01523		ENSG00000285251	defensin alpha 5 [Source:HGNC Symbol;Acc:HGNC:2764]
ODF4	Q2M2E3	Q2M2E3		ENSG00000184650	outer dense fiber of sperm tails 4 [Source:HGNC Symbol;Acc:HGNC:19056]
POT1	Q9NUX5	Q9NUX5		ENSG00000128513	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]
VAV3	Q9UKW4	Q9UKW4		ENSG00000134215	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]
FIG4	A0A6Q8PGP1		A0A6Q8PGP1	ENSG00000112367	FIG4 phosphoinositide 5-phosphatase [Source:HGNC Symbol;Acc:HGNC:16873]
E2F7	Q96AV8	Q96AV8		ENSG00000165891	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]
C19orf81	C9J6K1	C9J6K1		ENSG00000235034	chromosome 19 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:40041]
GPR32	O75388	O75388	H9NIL6	ENSG00000142511	G protein-coupled receptor 32 [Source:HGNC Symbol;Acc:HGNC:4487]
RPL26	P61254	P61254		ENSG00000161970	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]
MAMDC4	Q6UXC1	Q6UXC1		ENSG00000177943	MAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24083]
GMPS	P49915	P49915	A0A140VJK6	ENSG00000163655	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]
POTEC	D7UEQ8		D7UEQ8	ENSG00000183206	POTE ankyrin domain family member C [Source:HGNC Symbol;Acc:HGNC:33894]
KLK1	P06870	P06870	A0A1R3UCD2	ENSG00000167748	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]
PTPN4	P29074	P29074		ENSG00000088179	protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656]
TMTC3	F8W044		F8W044	ENSG00000139324	transmembrane O-mannosyltransferase targeting cadherins 3 [Source:HGNC Symbol;Acc:HGNC:26899]
RASA1	P20936	P20936		ENSG00000145715	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]
ZSWIM8	S4R410		S4R410	ENSG00000214655	zinc finger SWIM-type containing 8 [Source:HGNC Symbol;Acc:HGNC:23528]
GLYATL1B	A0A0U1RQE8	A0A0U1RQE8		ENSG00000255151	glycine-N-acyltransferase like 1B [Source:HGNC Symbol;Acc:HGNC:37865]
FAM111B	Q6SJ93	Q6SJ93		ENSG00000189057	FAM111 trypsin like peptidase B [Source:HGNC Symbol;Acc:HGNC:24200]
EEFSEC	P57772	P57772		ENSG00000132394	eukaryotic elongation factor, selenocysteine-tRNA specific [Source:HGNC Symbol;Acc:HGNC:24614]
MEF2D	Q14814	Q14814		ENSG00000291761	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]
ZFP14	Q9HCL3	Q9HCL3		ENSG00000142065	ZFP14 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29312]
EDF1	O60869	O60869		ENSG00000107223	endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]
WWC2	Q6AWC2	Q6AWC2		ENSG00000151718	WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]
CCDC42	Q96M95	Q96M95		ENSG00000161973	coiled-coil domain containing 42 [Source:HGNC Symbol;Acc:HGNC:26528]
ZFP82	K7ERD5		K7ERD5	ENSG00000181007	ZFP82 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:28682]
SAMTOR	Q1RMZ1	Q1RMZ1		ENSG00000164603	S-adenosylmethionine sensor upstream of mTORC1 [Source:HGNC Symbol;Acc:HGNC:26475]
IQGAP3	Q86VI3	Q86VI3		ENSG00000291754	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]
MFSD6L	Q8IWD5	Q8IWD5		ENSG00000185156	major facilitator superfamily domain containing 6 like [Source:HGNC Symbol;Acc:HGNC:26656]
SLC2A2	P11168	P11168		ENSG00000163581	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]
TTC24	A2A3L6	A2A3L6		ENSG00000291760	tetratricopeptide repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:32348]
STK26	B4E0Y9		B4E0Y9	ENSG00000134602	serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]
HAPLN2	Q9GZV7	Q9GZV7		ENSG00000291756	hyaluronan and proteoglycan link protein 2 [Source:HGNC Symbol;Acc:HGNC:17410]
ZNF260	Q3ZCT1	Q3ZCT1		ENSG00000254004	zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]
GPATCH4	Q5T3I0	Q5T3I0		ENSG00000292251	G-patch domain containing 4 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:25982]
TLCD4	Q96MV1	Q96MV1		ENSG00000152078	TLC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26477]
ANKRD30B	A0A8I5KW82		A0A8I5KW82	ENSG00000180777	ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:24165]
DTX4	Q9Y2E6	Q9Y2E6		ENSG00000110042	deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]
PIK3R6	Q5UE93	Q5UE93		ENSG00000276231	phosphoinositide-3-kinase regulatory subunit 6 [Source:HGNC Symbol;Acc:HGNC:27101]
ZNF529	K7EL49		K7EL49	ENSG00000186020	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]
MRPL22	Q9NWU5	Q9NWU5		ENSG00000082515	mitochondrial ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:14480]
MSRA	Q9UJ68	Q9UJ68		ENSG00000285250	methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]
RAP2C	A0A087X2C3		A0A087X2C3	ENSG00000123728	RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]
LRRC8D	E9PJ89		E9PJ89	ENSG00000171492	leucine rich repeat containing 8 VRAC subunit D [Source:HGNC Symbol;Acc:HGNC:16992]
MPEG1	Q2M385	Q2M385		ENSG00000197629	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]
SLITRK3	O94933	O94933		ENSG00000121871	SLIT and NTRK like family member 3 [Source:HGNC Symbol;Acc:HGNC:23501]
TXNDC2	F5H6S7		F5H6S7	ENSG00000168454	thioredoxin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16470]
IMP4	Q96G21	Q96G21		ENSG00000136718	IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]
ENTR1	Q96C92	Q96C92		ENSG00000165689	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]
CDPF1	F6RAJ7		F6RAJ7	ENSG00000205643	cysteine rich DPF motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33710]
S1PR1	A0A3B3IUD4		A0A3B3IUD4	ENSG00000170989	sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]
COL26A1	Q96A83	Q96A83		ENSG00000160963	collagen type XXVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18038]
WSCD2	Q2TBF2	Q2TBF2		ENSG00000075035	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]
NDST2	P52849	P52849		ENSG00000166507	N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]
NTN1	O95631	O95631		ENSG00000065320	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]
HIPK4	Q8NE63	Q8NE63	A0A140VJL1	ENSG00000160396	homeodomain interacting protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:19007]
TTPA	P49638	P49638		ENSG00000137561	alpha tocopherol transfer protein [Source:HGNC Symbol;Acc:HGNC:12404]
SERTAD1	Q9UHV2	Q9UHV2	Q53GC0	ENSG00000197019	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]
INPP5E	Q9NRR6	Q9NRR6		ENSG00000148384	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]
C10orf71	Q711Q0	Q711Q0		ENSG00000177354	chromosome 10 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:26973]
PLP1	B1B1G3		B1B1G3	ENSG00000123560	proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]
HPGD	P15428	P15428		ENSG00000164120	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]
YTHDF3	A0A024R7W5		A0A024R7W5	ENSG00000185728	YTH N6-methyladenosine RNA binding protein F3 [Source:HGNC Symbol;Acc:HGNC:26465]
PSG6	Q00889	Q00889		ENSG00000170848	pregnancy specific beta-1-glycoprotein 6 [Source:HGNC Symbol;Acc:HGNC:9523]
GMPR	P36959	P36959		ENSG00000137198	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]
TIMM23	O14925	O14925		ENSG00000265354	translocase of inner mitochondrial membrane 23 [Source:HGNC Symbol;Acc:HGNC:17312]
TMEM232	C9JQI7	C9JQI7		ENSG00000186952	transmembrane protein 232 [Source:HGNC Symbol;Acc:HGNC:37270]
VAPA	Q9P0L0	Q9P0L0		ENSG00000101558	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]
MSMB	P08118	P08118		ENSG00000263639	microseminoprotein beta [Source:HGNC Symbol;Acc:HGNC:7372]
SYCN	Q0VAF6	Q0VAF6		ENSG00000179751	syncollin [Source:HGNC Symbol;Acc:HGNC:18442]
